frame,curTime,name,Position,curLapNum,curLapTime,LapDistance,sector,steer,throttle,brake,gear,engineRPM,LapInvalid,TC,ABS,AI
22459,2022/4/22 20:21,h0,1,2,6.193,492.83,0,0.096223,1,0,8,10162,0,0,0,0
22460,2022/4/22 20:21,h0,1,2,6.246,496.904,0,0.09375,1,0,8,10166,0,0,0,0
22462,2022/4/22 20:21,h0,1,2,6.298,501.05,0,0.09375,1,0,8,10154,0,0,0,0
22463,2022/4/22 20:21,h0,1,2,6.349,505.187,0,0.09375,1,0,8,10153,0,0,0,0
22464,2022/4/22 20:21,h0,1,2,6.403,509.383,0,0.086468,1,0,8,10159,0,0,0,0
22465,2022/4/22 20:21,h0,1,2,6.456,513.671,0,0.075847,1,0,8,10155,0,0,0,0
22466,2022/4/22 20:21,h0,1,2,6.508,518.071,0,0.065324,1,0,8,10155,0,0,0,0
22467,2022/4/22 20:21,h0,1,2,6.561,522.266,0,0.053874,1,0,8,10155,0,0,0,0
22468,2022/4/22 20:21,h0,1,2,6.614,526.508,0,0.042208,1,0,8,10149,0,0,0,0
22469,2022/4/22 20:21,h0,1,2,6.614,526.508,0,0.03125,1,0,8,10144,0,0,0,0
22470,2022/4/22 20:21,h0,1,2,6.721,535.032,0,0.019171,1,0,8,10144,0,0,0,0
22471,2022/4/22 20:21,h0,1,2,6.721,535.032,0,0.008467,1,0,8,10154,0,0,0,0
22473,2022/4/22 20:21,h0,1,2,6.824,543.658,0,0,1,0,8,10168,0,0,0,0
22474,2022/4/22 20:21,h0,1,2,6.877,547.896,0,-0.011944,1,0,8,10175,0,0,0,0
22476,2022/4/22 20:21,h0,1,2,6.984,556.53,0,-0.03125,1,0,8,10172,0,0,0,0
22478,2022/4/22 20:21,h0,1,2,7.089,565.103,0,-0.03125,1,0,8,10185,0,0,0,0
22479,2022/4/22 20:21,h0,1,2,7.141,569.376,0,-0.03125,1,0,8,10196,0,0,0,0
22483,2022/4/22 20:21,h0,1,2,7.297,582.011,0,-0.0625,1,0,8,10218,0,0,0,0
22484,2022/4/22 20:21,h0,1,2,7.349,586.325,0,-0.07543,1,0,8,10217,0,0,0,0
22485,2022/4/22 20:21,h0,1,2,7.4,590.693,0,-0.085757,1,0,8,10209,0,0,0,0
22486,2022/4/22 20:21,h0,1,2,7.454,595.17,0,-0.09375,1,0,8,10204,0,0,0,0
22487,2022/4/22 20:21,h0,1,2,7.508,599.934,0,-0.09375,1,0,8,10203,0,0,0,0
22488,2022/4/22 20:21,h0,1,2,7.565,604.542,0,-0.09375,1,0,8,10208,0,0,0,0
22490,2022/4/22 20:21,h0,1,2,7.667,613.184,0,-0.106703,1,0,8,10217,0,0,0,0
22491,2022/4/22 20:21,h0,1,2,7.713,617.082,0,-0.116073,1,0,8,10216,0,0,0,0
22492,2022/4/22 20:21,h0,1,2,7.771,621.986,0,-0.125,1,0,8,10223,0,0,0,0
22494,2022/4/22 20:21,h0,1,2,7.771,621.986,0,-0.125,1,0,8,10248,0,0,0,0
22495,2022/4/22 20:21,h0,1,2,7.878,631.356,0,-0.125,1,0,8,10214,0,0,0,0
22497,2022/4/22 20:21,h0,1,2,7.989,640.851,0,-0.125,1,0,8,10224,0,0,0,0
22498,2022/4/22 20:21,h0,1,2,8.039,645.118,0,-0.125,1,0,8,10261,0,0,0,0
22499,2022/4/22 20:21,h0,1,2,8.039,645.118,0,-0.125,1,0,8,10250,0,0,0,0
22500,2022/4/22 20:21,h0,1,2,8.148,654.389,0,-0.125,1,0,8,10238,0,0,0,0
22501,2022/4/22 20:21,h0,1,2,8.209,659.575,0,-0.125,1,0,8,10227,0,0,0,0
22502,2022/4/22 20:21,h0,1,2,8.259,663.848,0,-0.125,1,0,8,10219,0,0,0,0
22504,2022/4/22 20:21,h0,1,2,8.318,668.872,0,-0.125,1,0,8,10212,0,0,0,0
22505,2022/4/22 20:21,h0,1,2,8.367,672.922,0,-0.125,1,0,8,10210,0,0,0,0
22506,2022/4/22 20:21,h0,1,2,8.423,677.693,0,-0.125,1,0,8,10207,0,0,0,0
22507,2022/4/22 20:21,h0,1,2,8.478,682.347,0,-0.125,1,0,8,10205,0,0,0,0
22508,2022/4/22 20:21,h0,1,2,8.535,687.019,0,-0.125,1,0,8,10207,0,0,0,0
22509,2022/4/22 20:21,h0,1,2,8.587,691.567,0,-0.110264,1,0,8,10206,0,0,0,0
22510,2022/4/22 20:21,h0,1,2,8.641,696.017,0,-0.100411,1,0,8,10207,0,0,0,0
22511,2022/4/22 20:21,h0,1,2,8.696,700.513,0,-0.09375,1,0,8,10213,0,0,0,0
22512,2022/4/22 20:21,h0,1,2,8.755,705.222,0,-0.077826,1,0,8,10211,0,0,0,0
22514,2022/4/22 20:21,h0,1,2,8.798,708.92,0,-0.068909,1,0,8,10211,0,0,0,0
22515,2022/4/22 20:21,h0,1,2,8.855,713.497,0,-0.0625,1,0,8,10216,0,0,0,0
22516,2022/4/22 20:21,h0,1,2,8.91,718.396,0,-0.0625,1,0,8,10208,0,0,0,0
22517,2022/4/22 20:21,h0,1,2,8.958,721.999,0,-0.0625,1,0,8,10202,0,0,0,0
22518,2022/4/22 20:21,h0,1,2,9.012,726.433,0,-0.0625,1,0,8,10200,0,0,0,0
22519,2022/4/22 20:21,h0,1,2,9.069,730.804,0,-0.046727,1,0,8,10202,0,0,0,0
22520,2022/4/22 20:21,h0,1,2,9.123,735.418,0,-0.035814,1,0,8,10211,0,0,0,0
22521,2022/4/22 20:21,h0,1,2,9.177,739.799,0,-0.024854,1,0,8,10223,0,0,0,0
22522,2022/4/22 20:21,h0,1,2,9.232,744.186,0,-0.013881,1,0,8,10231,0,0,0,0
22523,2022/4/22 20:21,h0,1,2,9.288,748.642,0,-0.002719,1,0,8,10240,0,0,0,0
22524,2022/4/22 20:21,h0,1,2,9.341,753.211,0,0.007964,1,0,8,10248,0,0,0,0
22525,2022/4/22 20:21,h0,1,2,9.397,757.62,0,0.019126,1,0,8,10250,0,0,0,0
22527,2022/4/22 20:21,h0,1,2,9.506,766.653,0,0.022268,1,0,8,10252,0,0,0,0
22528,2022/4/22 20:21,h0,1,2,9.562,771.103,0,0.011976,1,0,8,10265,0,0,0,0
22529,2022/4/22 20:21,h0,1,2,9.618,775.688,0,0.001612,1,0,8,10277,0,0,0,0
22530,2022/4/22 20:21,h0,1,2,9.674,780.271,0,0,1,0,8,10287,0,0,0,0
22531,2022/4/22 20:21,h0,1,2,9.727,784.64,0,0,1,0,8,10290,0,0,0,0
22532,2022/4/22 20:21,h0,1,2,9.781,788.992,0,0,1,0,8,10291,0,0,0,0
22534,2022/4/22 20:21,h0,1,2,9.836,793.504,0,0,1,0,8,10296,0,0,0,0
22535,2022/4/22 20:21,h0,1,2,9.89,797.896,0,0,1,0,8,10308,0,0,0,0
22536,2022/4/22 20:21,h0,1,2,9.944,802.458,0,0,1,0,8,10321,0,0,0,0
22537,2022/4/22 20:21,h0,1,2,9.998,806.808,0,0,0.766377,0.373797,7,11698,0,0,0,0
22538,2022/4/22 20:21,h0,1,2,10.054,811.229,0,0,0.54663,0.725391,7,11546,0,0,0,0
22539,2022/4/22 20:21,h0,1,2,10.107,815.731,0,0,0.375,1,7,11327,0,0,0,0
22540,2022/4/22 20:21,h0,1,2,10.164,819.927,0,0.013908,0.208105,1,6,12493,0,0,0,0
22542,2022/4/22 20:21,h0,1,2,10.273,828.172,0,0.03125,0,1,5,11971,0,0,0,0
22544,2022/4/22 20:21,h0,1,2,10.318,831.263,0,0.03125,0,1,5,12686,0,0,0,0
22545,2022/4/22 20:21,h0,1,2,10.375,835.235,0,0.03125,0,1,5,12595,0,0,0,0
22546,2022/4/22 20:21,h0,1,2,10.375,835.235,0,0.037037,0,1,4,13829,0,0,0,0
22547,2022/4/22 20:21,h0,1,2,10.375,835.235,0,0.049283,0,1,4,13753,0,0,0,0
