frame,curTime,name,Position,curLapNum,curLapTime,sector,steer,throttle,brake,gear,engineRPM,LapInvalid,TC,ABS,AI
20720,2022/3/25 20:19,h0,1,4,4.026,0,-0.40625,0.618215,0,4,8959,0,0,0,0
20721,2022/3/25 20:19,h0,1,4,4.076,0,-0.395061,0.625,0,4,9067,0,0,0,0
20722,2022/3/25 20:19,h0,1,4,4.126,0,-0.380894,0.625,0,4,9158,0,0,0,0
20723,2022/3/25 20:19,h0,1,4,4.176,0,-0.35856,0.60856,0,4,9218,0,0,0,0
20724,2022/3/25 20:19,h0,1,4,4.227,0,-0.330098,0.580098,0,4,9251,0,0,0,0
20725,2022/3/25 20:19,h0,1,4,4.278,0,-0.285666,0.498099,0.021467,4,9253,0,0,0,0
20726,2022/3/25 20:19,h0,1,4,4.33,0,-0.215476,0.329643,0.077619,4,9053,0,0,0,0
20728,2022/3/25 20:19,h0,1,4,4.38,0,-0.142537,0.175746,0.14459,4,8927,0,0,0,0
20729,2022/3/25 20:19,h0,1,4,4.432,0,-0.039205,0.087175,0.292208,4,8765,0,0,0,0
20730,2022/3/25 20:19,h0,1,4,4.482,0,0.061878,0.000533,0.436611,4,8564,0,0,0,0
20731,2022/3/25 20:19,h0,1,4,4.545,0,0.15324,0,0.473796,4,8281,0,0,0,0
20732,2022/3/25 20:19,h0,1,4,4.584,0,0.208654,0,0.495962,4,9852,0,0,0,0
20733,2022/3/25 20:19,h0,1,4,4.647,0,0.21875,0,0.438357,4,7917,0,0,0,0
20734,2022/3/25 20:19,h0,1,4,4.693,0,0.21875,0,0.388676,4,7710,0,0,0,0
20735,2022/3/25 20:19,h0,1,4,4.745,0,0.262347,0,0.375,4,7520,0,0,0,0
20736,2022/3/25 20:19,h0,1,4,4.796,0,0.318568,0,0.375,4,8896,0,0,0,0
20737,2022/3/25 20:19,h0,1,4,4.848,0,0.393567,0,0.375,4,7274,0,0,0,0
20738,2022/3/25 20:19,h0,1,4,4.9,0,0.482998,0,0.375,4,6969,0,0,0,0
20739,2022/3/25 20:19,h0,1,4,4.951,0,0.53125,0,0.362089,4,6844,0,0,0,0
20740,2022/3/25 20:19,h0,1,4,5.003,0,0.53125,0,0.331617,4,8212,0,0,0,0
20741,2022/3/25 20:19,h0,1,4,5.055,0,0.53125,0,0.3125,4,6618,0,0,0,0
20742,2022/3/25 20:19,h0,1,4,5.107,0,0.546042,0,0.282916,4,6394,0,0,0,0
20743,2022/3/25 20:19,h0,1,4,5.16,0,0.556905,0,0.261191,4,6239,0,0,0,0
20744,2022/3/25 20:19,h0,1,4,5.213,0,0.574245,0,0.25,4,7832,0,0,0,0
20745,2022/3/25 20:19,h0,1,4,5.269,0,0.598406,0,0.25,4,6201,0,0,0,0
20746,2022/3/25 20:19,h0,1,4,5.324,0,0.622087,0,0.25,4,5841,0,0,0,0
20748,2022/3/25 20:19,h0,1,4,5.38,0,0.646622,0,0.206756,4,5693,0,0,0,0
20749,2022/3/25 20:19,h0,1,4,5.434,0,0.669482,0,0.1875,4,8171,0,0,0,0
20750,2022/3/25 20:19,h0,1,4,5.491,0,0.693335,0,0.1875,4,5528,0,0,0,0
20751,2022/3/25 20:19,h0,1,4,5.545,0,0.718195,0,0.1875,4,5337,0,0,0,0
20752,2022/3/25 20:19,h0,1,4,5.6,0,0.71875,0,0.1875,4,5204,0,0,0,0
20753,2022/3/25 20:19,h0,1,4,5.656,0,0.733977,0,0.157047,4,6511,0,0,0,0
20754,2022/3/25 20:19,h0,1,4,5.708,0,0.75,0,0.125,4,5095,0,0,0,0
20755,2022/3/25 20:19,h0,1,4,5.762,0,0.750312,0,0.125,4,4981,0,0,0,0
20756,2022/3/25 20:19,h0,1,4,5.814,0,0.774069,0,0.125,4,5682,0,0,0,0
20758,2022/3/25 20:19,h0,1,4,5.867,0,0.78125,0,0.095922,4,5388,0,0,0,0
20759,2022/3/25 20:19,h0,1,4,5.922,0,0.78125,0,0.052639,4,4735,0,0,0,0
20761,2022/3/25 20:19,h0,1,4,5.971,0,0.78125,0.11538,0,4,5970,0,0,0,0
20762,2022/3/25 20:19,h0,1,4,6.077,0,0.78125,0.216952,0,4,5546,0,0,0,0
20763,2022/3/25 20:19,h0,1,4,6.136,0,0.78125,0.315466,0,4,4776,0,0,0,0
20764,2022/3/25 20:19,h0,1,4,6.178,0,0.78125,0.351275,0,4,4811,0,0,0,0
20765,2022/3/25 20:19,h0,1,4,6.232,0,0.78125,0.396129,0,4,6014,0,0,0,0
20766,2022/3/25 20:19,h0,1,4,6.283,0,0.780336,0.4375,0,4,5517,0,0,0,0
20767,2022/3/25 20:19,h0,1,4,6.336,0,0.759368,0.4375,0,4,4938,0,0,0,0
20769,2022/3/25 20:19,h0,1,4,6.387,0,0.75,0.4375,0,4,4986,0,0,0,0
20770,2022/3/25 20:19,h0,1,4,6.441,0,0.747745,0.439755,0,4,6388,0,0,0,0
20771,2022/3/25 20:19,h0,1,4,6.494,0,0.706848,0.480652,0,4,5807,0,0,0,0
20772,2022/3/25 20:19,h0,1,4,6.551,0,0.663543,0.5,0,4,5264,0,0,0,0
20773,2022/3/25 20:19,h0,1,4,6.594,0,0.630116,0.5,0,4,5250,0,0,0,0
20774,2022/3/25 20:19,h0,1,4,6.652,0,0.583369,0.5,0,4,6506,0,0,0,0
20775,2022/3/25 20:19,h0,1,4,6.706,0,0.53666,0.5,0,4,6213,0,0,0,0
20776,2022/3/25 20:19,h0,1,4,6.759,0,0.495431,0.5,0,4,5777,0,0,0,0
20777,2022/3/25 20:19,h0,1,4,6.811,0,0.455651,0.5,0,4,5693,0,0,0,0
20778,2022/3/25 20:19,h0,1,4,6.865,0,0.410153,0.554695,0,4,7578,0,0,0,0
20779,2022/3/25 20:19,h0,1,4,6.919,0,0.40625,0.5625,0,4,6740,0,0,0,0
20780,2022/3/25 20:19,h0,1,4,6.973,0,0.380214,0.614572,0,4,6348,0,0,0,0
20781,2022/3/25 20:19,h0,1,4,7.025,0,0.368946,0.625,0,4,6246,0,0,0,0
20782,2022/3/25 20:19,h0,1,4,7.079,0,0.310779,0.625,0,4,8821,0,0,0,0
20783,2022/3/25 20:19,h0,1,4,7.132,0,0.254414,0.625,0,4,7038,0,0,0,0
20784,2022/3/25 20:19,h0,1,4,7.186,0,0.255929,0.636857,0,4,6546,0,0,0,0
20785,2022/3/25 20:19,h0,1,4,7.239,0,0.296367,0.6875,0,4,6444,0,0,0,0
20786,2022/3/25 20:19,h0,1,4,7.292,0,0.3125,0.6875,0,4,8542,0,0,0,0
20787,2022/3/25 20:19,h0,1,4,7.347,0,0.297215,0.75,0,4,7216,0,0,0,0
20789,2022/3/25 20:19,h0,1,4,7.398,0,0.233571,0.75,0,4,6895,0,0,0,0
20790,2022/3/25 20:19,h0,1,4,7.454,0,0.182366,0.75,0,4,6762,0,0,0,0
20791,2022/3/25 20:19,h0,1,4,7.508,0,0.15625,0.75,0,4,8874,0,0,0,0
20792,2022/3/25 20:19,h0,1,4,7.561,0,0.15625,0.75,0,4,7459,0,0,0,0
20793,2022/3/25 20:19,h0,1,4,7.615,0,0.172564,0.782628,0,4,7197,0,0,0,0
20794,2022/3/25 20:19,h0,1,4,7.669,0,0.1875,0.812679,0,4,7809,0,0,0,0
20795,2022/3/25 20:19,h0,1,4,7.722,0,0.169028,0.875,0,4,8951,0,0,0,0
20796,2022/3/25 20:19,h0,1,4,7.774,0,0.095845,0.814595,0,4,8251,0,0,0,0
20797,2022/3/25 20:20,h0,1,4,7.827,0,0.019705,0.8125,0,4,8218,0,0,0,0
20799,2022/3/25 20:20,h0,1,4,7.881,0,-0.029572,0.8125,0,4,9438,0,0,0,0
20800,2022/3/25 20:20,h0,1,4,7.934,0,-0.108989,0.8125,0,4,9319,0,0,0,0
20801,2022/3/25 20:20,h0,1,4,7.987,0,-0.158173,0.8125,0,4,8742,0,0,0,0
20802,2022/3/25 20:20,h0,1,4,8.039,0,-0.198668,0.8125,0,4,8543,0,0,0,0
20804,2022/3/25 20:20,h0,1,4,8.092,0,-0.21875,0.8125,0,4,8667,0,0,0,0
20805,2022/3/25 20:20,h0,1,4,8.145,0,-0.21875,0.8125,0,4,8693,0,0,0,0
20806,2022/3/25 20:20,h0,1,4,8.198,0,-0.132975,0.8125,0,4,8604,0,0,0,0
20807,2022/3/25 20:20,h0,1,4,8.25,0,-0.052308,0.853942,0,4,8519,0,0,0,0
20808,2022/3/25 20:20,h0,1,4,8.304,0,0.039269,0.883019,0,4,8535,0,0,0,0
20809,2022/3/25 20:20,h0,1,4,8.356,0,0.107477,0.9375,0,4,8690,0,0,0,0
20811,2022/3/25 20:20,h0,1,4,8.408,0,0.101558,0.984383,0,4,8866,0,0,0,0
20812,2022/3/25 20:20,h0,1,4,8.457,0,0.09375,1,0,4,9197,0,0,0,0
20813,2022/3/25 20:20,h0,1,4,8.515,0,0.045454,1,0,4,9482,0,0,0,0
20814,2022/3/25 20:20,h0,1,4,8.563,0,0.005434,1,0,4,9649,0,0,0,0
20815,2022/3/25 20:20,h0,1,4,8.621,0,0.016355,1,0,4,9947,0,0,0,0
20816,2022/3/25 20:20,h0,1,4,8.66,0,0.048471,1,0,4,10000,0,0,0,0
20817,2022/3/25 20:20,h0,1,4,8.722,0,0.03125,1,0,4,10299,0,0,0,0
20818,2022/3/25 20:20,h0,1,4,8.771,0,0.01768,1,0,4,10533,0,0,0,0
20819,2022/3/25 20:20,h0,1,4,8.83,0,0,1,0,4,10780,0,0,0,0
20821,2022/3/25 20:20,h0,1,4,8.878,0,-0.036033,1,0,4,10843,0,0,0,0
20822,2022/3/25 20:20,h0,1,4,8.929,0,-0.0625,1,0,4,10868,0,0,0,0
20823,2022/3/25 20:20,h0,1,4,8.986,0,-0.09375,1,0,4,10847,0,0,0,0
20824,2022/3/25 20:20,h0,1,4,9.035,0,-0.09375,1,0,4,10872,0,0,0,0
20825,2022/3/25 20:20,h0,1,4,9.092,0,-0.023875,1,0,4,11024,0,0,0,0
20826,2022/3/25 20:20,h0,1,4,9.141,0,0,1,0,4,11137,0,0,0,0
20827,2022/3/25 20:20,h0,1,4,9.202,0,0.03125,1,0,5,10092,0,0,0,0
20828,2022/3/25 20:20,h0,1,4,9.249,0,0.049412,1,0,5,9774,0,0,0,0
20829,2022/3/25 20:20,h0,1,4,9.308,0,0.0625,1,0,5,9893,0,0,0,0
20830,2022/3/25 20:20,h0,1,4,9.357,0,0.0625,1,0,5,9998,0,0,0,0
20832,2022/3/25 20:20,h0,1,4,9.416,0,0.0625,1,0,5,10117,0,0,0,0
20833,2022/3/25 20:20,h0,1,4,9.464,0,0.0625,1,0,5,10245,0,0,0,0
20834,2022/3/25 20:20,h0,1,4,9.522,0,0.0625,1,0,5,10370,0,0,0,0
20835,2022/3/25 20:20,h0,1,4,9.57,0,0.0625,1,0,5,10468,0,0,0,0
20836,2022/3/25 20:20,h0,1,4,9.63,0,0.0625,1,0,5,10593,0,0,0,0
20837,2022/3/25 20:20,h0,1,4,9.681,0,0.0625,1,0,5,10718,0,0,0,0
20838,2022/3/25 20:20,h0,1,4,9.739,0,0.0625,1,0,5,10814,0,0,0,0
20839,2022/3/25 20:20,h0,1,4,9.788,0,0.042068,1,0,5,10902,0,0,0,0
20840,2022/3/25 20:20,h0,1,4,9.847,0,0.03125,1,0,5,11010,0,0,0,0
20842,2022/3/25 20:20,h0,1,4,9.896,0,0.03125,1,0,5,11102,0,0,0,0
20843,2022/3/25 20:20,h0,1,4,9.954,0,0.03125,1,0,5,11206,0,0,0,0
20844,2022/3/25 20:20,h0,1,4,10.004,0,0.03125,1,0,5,11292,0,0,0,0
20845,2022/3/25 20:20,h0,1,4,10.061,0,0.03125,1,0,5,11404,0,0,0,0
20846,2022/3/25 20:20,h0,1,4,10.109,0,0.03125,1,0,6,11005,0,0,0,0
20847,2022/3/25 20:20,h0,1,4,10.158,0,0.03125,1,0,6,10068,0,0,0,0
20848,2022/3/25 20:20,h0,1,4,10.217,0,0.03125,1,0,6,10118,0,0,0,0
20849,2022/3/25 20:20,h0,1,4,10.266,0,0.03125,1,0,6,10173,0,0,0,0
20850,2022/3/25 20:20,h0,1,4,10.322,0,0.03125,1,0,6,10264,0,0,0,0
20851,2022/3/25 20:20,h0,1,4,10.37,0,0.03125,1,0,6,10342,0,0,0,0
20853,2022/3/25 20:20,h0,1,4,10.426,0,0.03125,1,0,6,10431,0,0,0,0
20854,2022/3/25 20:20,h0,1,4,10.473,0,0.03125,1,0,6,10488,0,0,0,0
20855,2022/3/25 20:20,h0,1,4,10.529,0,0.03125,1,0,6,10548,0,0,0,0
20856,2022/3/25 20:20,h0,1,4,10.575,0,0.03125,1,0,6,10600,0,0,0,0
20857,2022/3/25 20:20,h0,1,4,10.635,0,0.03125,1,0,6,10672,0,0,0,0
20858,2022/3/25 20:20,h0,1,4,10.685,0,0.03125,1,0,6,10734,0,0,0,0
20859,2022/3/25 20:20,h0,1,4,10.736,0,0.03125,1,0,6,10802,0,0,0,0
20860,2022/3/25 20:20,h0,1,4,10.789,0,0.03125,1,0,6,10880,0,0,0,0
20861,2022/3/25 20:20,h0,1,4,10.84,0,0.03125,1,0,6,10955,0,0,0,0
20863,2022/3/25 20:20,h0,1,4,10.892,0,0.03125,1,0,6,11023,0,0,0,0
20864,2022/3/25 20:20,h0,1,4,10.94,0,0.03125,1,0,6,11070,0,0,0,0
20865,2022/3/25 20:20,h0,1,4,10.999,0,0.03125,1,0,6,11118,0,0,0,0
20866,2022/3/25 20:20,h0,1,4,11.048,0,0.03125,1,0,6,11169,0,0,0,0
20867,2022/3/25 20:20,h0,1,4,11.099,0,0.03125,1,0,6,11232,0,0,0,0
20868,2022/3/25 20:20,h0,1,4,11.159,0,0.03125,1,0,6,11313,0,0,0,0
20869,2022/3/25 20:20,h0,1,4,11.2,0,0.03125,1,0,6,11361,0,0,0,0
20870,2022/3/25 20:20,h0,1,4,11.253,0,0.03125,1,0,6,11414,0,0,0,0
20871,2022/3/25 20:20,h0,1,4,11.306,0,0.03125,1,0,6,11466,0,0,0,0
20872,2022/3/25 20:20,h0,1,4,11.356,0,0.03125,1,0,6,11518,0,0,0,0
20874,2022/3/25 20:20,h0,1,4,11.41,0,0.03125,1,0,6,11570,0,0,0,0
20875,2022/3/25 20:20,h0,1,4,11.463,0,0.03125,1,0,6,11622,0,0,0,0
20876,2022/3/25 20:20,h0,1,4,11.515,0,0.03125,1,0,6,11670,0,0,0,0
20877,2022/3/25 20:20,h0,1,4,11.57,0,0.03125,1,0,6,11715,0,0,0,0
20878,2022/3/25 20:20,h0,1,4,11.624,0,0.03125,1,0,6,11758,0,0,0,0
20879,2022/3/25 20:20,h0,1,4,11.68,0,0.03125,1,0,7,10671,0,0,0,0
20880,2022/3/25 20:20,h0,1,4,11.735,0,0.03125,1,0,7,10369,0,0,0,0
20881,2022/3/25 20:20,h0,1,4,11.79,0,0.03125,1,0,7,10389,0,0,0,0
20882,2022/3/25 20:20,h0,1,4,11.834,0,0.03125,1,0,7,10415,0,0,0,0
20884,2022/3/25 20:20,h0,1,4,11.89,0,0.03125,1,0,7,10453,0,0,0,0
20885,2022/3/25 20:20,h0,1,4,11.941,0,0.03125,1,0,7,10492,0,0,0,0
20886,2022/3/25 20:20,h0,1,4,11.994,0,0.03125,1,0,7,10529,0,0,0,0
20887,2022/3/25 20:20,h0,1,4,12.046,0,0.03125,1,0,7,10567,0,0,0,0
20888,2022/3/25 20:20,h0,1,4,12.098,0,0.03125,1,0,7,10606,0,0,0,0
20889,2022/3/25 20:20,h0,1,4,12.149,0,0.016499,1,0,7,10642,0,0,0,0
20890,2022/3/25 20:20,h0,1,4,12.201,0,0.00634,1,0,7,10680,0,0,0,0
20891,2022/3/25 20:20,h0,1,4,12.251,0,0,1,0,7,10718,0,0,0,0
20892,2022/3/25 20:20,h0,1,4,12.305,0,0.014802,1,0,7,10747,0,0,0,0
20893,2022/3/25 20:20,h0,1,4,12.355,0,0.02522,1,0,7,10774,0,0,0,0
20895,2022/3/25 20:20,h0,1,4,12.406,0,0.03125,1,0.008958,7,10801,0,0,0,0
20896,2022/3/25 20:20,h0,1,4,12.454,0,0.03125,1,0.029777,7,10821,0,0,0,0
20897,2022/3/25 20:20,h0,1,4,12.506,0,0.03125,1,0.051677,7,10838,0,0,0,0
20898,2022/3/25 20:20,h0,1,4,12.564,0,0.04494,0.808342,0.267848,6,12204,0,0,0,0
20899,2022/3/25 20:20,h0,1,4,12.605,0,0.061894,0.570983,0.522162,6,12051,0,0,0,0
20900,2022/3/25 20:20,h0,1,4,12.665,0,0.086784,0.222529,0.895505,6,11666,0,0,0,0
20901,2022/3/25 20:20,h0,1,4,12.706,0,0.104536,0.103428,0.935284,6,11397,0,0,0,0
20902,2022/3/25 20:20,h0,1,4,12.765,0,0.130915,0.05067,0.77701,6,11065,0,0,0,0
20903,2022/3/25 20:20,h0,1,4,12.813,0,0.152293,0.007914,0.648742,6,10809,0,0,0,0
20904,2022/3/25 20:20,h0,1,4,12.871,0,0.166711,0,0.562233,5,11437,0,0,0,0
20906,2022/3/25 20:20,h0,1,4,12.917,0,0.176571,0,0.503071,5,11839,0,0,0,0
20907,2022/3/25 20:20,h0,1,4,12.972,0,0.1875,0,0.4375,5,11725,0,0,0,0
20908,2022/3/25 20:20,h0,1,4,13.017,0,0.242585,0,0.415466,5,11554,0,0,0,0
20910,2022/3/25 20:20,h0,1,4,13.07,0,0.302007,0,0.391697,5,11334,0,0,0,0
20911,2022/3/25 20:20,h0,1,4,13.124,0,0.34375,0,0.375,5,11116,0,0,0,0
20912,2022/3/25 20:20,h0,1,4,13.178,0,0.34375,0,0.3457,5,10922,0,0,0,0
20913,2022/3/25 20:20,h0,1,4,13.233,0,0.34375,0,0.323013,5,10742,0,0,0,0
20914,2022/3/25 20:20,h0,1,4,13.278,0,0.34375,0,0.3125,5,10604,0,0,0,0
20915,2022/3/25 20:20,h0,1,4,13.332,0,0.34375,0,0.281579,5,10439,0,0,0,0
20916,2022/3/25 20:20,h0,1,4,13.386,0,0.34375,0,0.259178,5,10285,0,0,0,0
20917,2022/3/25 20:20,h0,1,4,13.44,0,0.34375,0,0.224403,5,10145,0,0,0,0
20918,2022/3/25 20:20,h0,1,4,13.495,0,0.34375,0,0.179789,5,10014,0,0,0,0
