frame,curTime,name,Position,curLapNum,curLapTime,sector,steer,throttle,brake,gear,engineRPM,LapInvalid,TC,ABS,AI
68,25/3/22 20:20,Siesta siesta,11,4,3.605,0,-0.53125,0.414284,0,3,10209,0,0,0,0
69,25/3/22 20:20,Siesta siesta,11,4,3.655,0,-0.53125,0.456004,0,3,10288,0,0,0,0
70,25/3/22 20:20,Siesta siesta,11,4,3.706,0,-0.53125,0.498925,0,3,10403,0,0,0,0
71,25/3/22 20:20,Siesta siesta,11,4,3.758,0,-0.5204,0.5217,0,3,10504,0,0,0,0
72,25/3/22 20:20,Siesta siesta,11,4,3.814,0,-0.508073,0.546354,0,3,10623,0,0,0,0
73,25/3/22 20:20,Siesta siesta,11,4,3.863,0,-0.483353,0.519693,0,3,10726,0,0,0,0
74,25/3/22 20:20,Siesta siesta,11,4,3.921,0,-0.397432,0.298753,0,3,10649,0,0,0,0
75,25/3/22 20:20,Siesta siesta,11,4,3.972,0,-0.32277,0.106765,0,3,10593,0,0,0,0
76,25/3/22 20:20,Siesta siesta,11,4,4.03,0,-0.225162,0,0.099713,2,11384,0,0,0,0
77,25/3/22 20:20,Siesta siesta,11,4,4.079,0,-0.132449,0,0.264534,2,12118,0,0,0,0
78,25/3/22 20:20,Siesta siesta,11,4,4.136,0,-0.024223,0,0.456938,2,12399,0,0,0,0
79,25/3/22 20:20,Siesta siesta,11,4,4.184,0,0.066128,0,0.514695,2,12131,0,0,0,0
80,25/3/22 20:20,Siesta siesta,11,4,4.241,0,0.172486,0,0.53833,2,11751,0,0,0,0
81,25/3/22 20:20,Siesta siesta,11,4,4.288,0,0.261114,0,0.558025,2,11442,0,0,0,0
82,25/3/22 20:20,Siesta siesta,11,4,4.337,0,0.320717,0,0.51514,2,11125,0,0,0,0
83,25/3/22 20:20,Siesta siesta,11,4,4.394,0,0.379713,0,0.444344,2,10777,0,0,0,0
84,25/3/22 20:20,Siesta siesta,11,4,4.44,0,0.427316,0,0.387221,2,10604,0,0,0,0
85,25/3/22 20:20,Siesta siesta,11,4,4.495,0,0.466467,0,0.355688,2,10320,0,0,0,0
86,25/3/22 20:20,Siesta siesta,11,4,4.551,0,0.501708,0,0.332195,2,10038,0,0,0,0
87,25/3/22 20:20,Siesta siesta,11,4,4.602,0,0.53227,0,0.308422,2,9760,0,0,0,0
88,25/3/22 20:20,Siesta siesta,11,4,4.657,0,0.543716,0,0.262635,2,9610,0,0,0,0
89,25/3/22 20:20,Siesta siesta,11,4,4.713,0,0.555519,0,0.215425,2,9490,0,0,0,0
90,25/3/22 20:20,Siesta siesta,11,4,4.768,0,0.571582,0,0.1875,2,9342,0,0,0,0
91,25/3/22 20:20,Siesta siesta,11,4,4.822,0,0.594043,0,0.1875,2,9172,0,0,0,0
92,25/3/22 20:20,Siesta siesta,11,4,4.877,0,0.617077,0,0.1875,2,9010,0,0,0,0
93,25/3/22 20:20,Siesta siesta,11,4,4.933,0,0.640011,0,0.1875,2,8849,0,0,0,0
94,25/3/22 20:20,Siesta siesta,11,4,4.987,0,0.662429,0,0.1875,2,8682,0,0,0,0
95,25/3/22 20:20,Siesta siesta,11,4,5.042,0,0.685236,0,0.1875,2,8528,0,0,0,0
96,25/3/22 20:20,Siesta siesta,11,4,5.097,0,0.708607,0,0.1875,2,8361,0,0,0,0
97,25/3/22 20:20,Siesta siesta,11,4,5.145,0,0.729041,0,0.1875,2,8198,0,0,0,0
98,25/3/22 20:20,Siesta siesta,11,4,5.199,0,0.751899,0,0.185601,2,8018,0,0,0,0
99,25/3/22 20:20,Siesta siesta,11,4,5.254,0,0.777291,0,0.160209,2,7856,0,0,0,0
100,25/3/22 20:20,Siesta siesta,11,4,5.309,0,0.802279,0,0.135221,2,7711,0,0,0,0
101,25/3/22 20:20,Siesta siesta,11,4,5.473,0,0.843125,0,0.002499,2,7502,0,0,0,0
102,25/3/22 20:20,Siesta siesta,11,4,5.527,0,0.85552,0,0,2,7467,0,0,0,0
103,25/3/22 20:20,Siesta siesta,11,4,5.582,0,0.868037,0,0,2,7427,0,0,0,0
104,25/3/22 20:20,Siesta siesta,11,4,5.636,0,0.879924,0.019698,0,2,7397,0,0,0,0
105,25/3/22 20:20,Siesta siesta,11,4,5.692,0,0.891562,0.066247,0,2,7384,0,0,0,0
106,25/3/22 20:20,Siesta siesta,11,4,5.747,0,0.903146,0.112584,0,2,7370,0,0,0,0
107,25/3/22 20:20,Siesta siesta,11,4,5.8,0,0.897878,0.141743,0,2,7402,0,0,0,0
108,25/3/22 20:20,Siesta siesta,11,4,5.856,0,0.885516,0.166468,0,2,7461,0,0,0,0
109,25/3/22 20:21,Siesta siesta,11,4,5.91,0,0.87227,0.19023,0,2,7544,0,0,0,0
110,25/3/22 20:21,Siesta siesta,11,4,5.965,0,0.849321,0.213179,0,2,7606,0,0,0,0
111,25/3/22 20:21,Siesta siesta,11,4,6.02,0,0.82671,0.23579,0,2,7668,0,0,0,0
112,25/3/22 20:21,Siesta siesta,11,4,6.074,0,0.794333,0.259083,0,2,7725,0,0,0,0
113,25/3/22 20:21,Siesta siesta,11,4,6.13,0,0.744986,0.283757,0,2,7851,0,0,0,0
114,25/3/22 20:21,Siesta siesta,11,4,6.184,0,0.697513,0.307494,0,2,7960,0,0,0,0
115,25/3/22 20:21,Siesta siesta,11,4,6.238,0,0.643524,0.330091,0,3,10481,0,0,0,0
116,25/3/22 20:21,Siesta siesta,11,4,6.293,0,0.587382,0.352547,0,3,8065,0,0,0,0
117,25/3/22 20:21,Siesta siesta,11,4,6.349,0,0.530241,0.375672,0,3,7325,0,0,0,0
118,25/3/22 20:21,Siesta siesta,11,4,6.401,0,0.495978,0.398515,0,3,7062,0,0,0,0
