frame,curTime,name,Position,curLapNum,curLapTime,LapDistance,sector,steer,throttle,brake,gear,engineRPM,LapInvalid,TC,ABS,AI
22367,2022/4/22 20:21,LHAM66,19,1,7.851,624.137,0,-0.11175,1,0,8,10221,0,0,0,0
22368,2022/4/22 20:21,LHAM66,19,1,7.902,628.606,0,-0.101446,1,0,8,10219,0,0,0,0
22369,2022/4/22 20:21,LHAM66,19,1,7.954,632.993,0,-0.09375,1,0,8,10225,0,0,0,0
22370,2022/4/22 20:21,LHAM66,19,1,8.006,637.315,0,-0.09375,1,0,8,10213,0,0,0,0
22372,2022/4/22 20:21,LHAM66,19,1,8.11,646.203,0,-0.09375,1,0,8,10182,0,0,0,0
22373,2022/4/22 20:21,LHAM66,19,1,8.162,650.51,0,-0.09375,1,0,8,10171,0,0,0,0
22374,2022/4/22 20:21,LHAM66,19,1,8.213,654.903,0,-0.09375,1,0,8,10166,0,0,0,0
22375,2022/4/22 20:21,LHAM66,19,1,8.213,654.903,0,-0.09375,1,0,8,10169,0,0,0,0
22377,2022/4/22 20:21,LHAM66,19,1,8.317,663.615,0,-0.09375,1,0,8,10172,0,0,0,0
22378,2022/4/22 20:21,LHAM66,19,1,8.369,668.005,0,-0.09375,1,0,8,10180,0,0,0,0
22379,2022/4/22 20:21,LHAM66,19,1,8.419,672.473,0,-0.087547,1,0,8,10188,0,0,0,0
22380,2022/4/22 20:21,LHAM66,19,1,8.47,676.706,0,-0.076466,1,0,8,10186,0,0,0,0
22381,2022/4/22 20:21,LHAM66,19,1,8.523,681.211,0,-0.064967,1,0,8,10181,0,0,0,0
22382,2022/4/22 20:21,LHAM66,19,1,8.574,685.532,0,-0.0625,1,0,8,10181,0,0,0,0
22383,2022/4/22 20:21,LHAM66,19,1,8.574,685.532,0,-0.0625,1,0,8,10188,0,0,0,0
22384,2022/4/22 20:21,LHAM66,19,1,8.677,694.046,0,-0.0625,1,0,8,10201,0,0,0,0
22385,2022/4/22 20:21,LHAM66,19,1,8.727,698.211,0,-0.0625,1,0,8,10214,0,0,0,0
22386,2022/4/22 20:21,LHAM66,19,1,8.785,703.144,0,-0.0625,1,0,8,10223,0,0,0,0
22388,2022/4/22 20:21,LHAM66,19,1,8.829,706.671,0,-0.0625,1,0,8,10230,0,0,0,0
22389,2022/4/22 20:21,LHAM66,19,1,8.829,706.671,0,-0.0625,1,0,8,10237,0,0,0,0
22390,2022/4/22 20:21,LHAM66,19,1,8.931,714.95,0,-0.0625,1,0,8,10241,0,0,0,0
22391,2022/4/22 20:21,LHAM66,19,1,8.989,719.869,0,-0.0625,1,0,8,10247,0,0,0,0
22392,2022/4/22 20:21,LHAM66,19,1,9.04,723.957,0,-0.053559,1,0,8,10247,0,0,0,0
22393,2022/4/22 20:21,LHAM66,19,1,9.098,728.651,0,-0.041459,1,0,8,10242,0,0,0,0
22394,2022/4/22 20:21,LHAM66,19,1,9.142,732.206,0,-0.03227,1,0,8,10237,0,0,0,0
22395,2022/4/22 20:21,LHAM66,19,1,9.2,736.848,0,-0.03125,1,0,8,10240,0,0,0,0
22397,2022/4/22 20:21,LHAM66,19,1,9.302,745.208,0,-0.03125,1,0,8,10263,0,0,0,0
22399,2022/4/22 20:21,LHAM66,19,1,9.353,749.424,0,-0.03125,1,0,8,10273,0,0,0,0
22400,2022/4/22 20:21,LHAM66,19,1,9.404,753.711,0,-0.03125,1,0,8,10281,0,0,0,0
22401,2022/4/22 20:21,LHAM66,19,1,9.457,758.024,0,-0.03125,1,0,8,10289,0,0,0,0
22402,2022/4/22 20:21,LHAM66,19,1,9.509,762.293,0,-0.03125,1,0,8,10297,0,0,0,0
22403,2022/4/22 20:21,LHAM66,19,1,9.562,766.608,0,-0.03125,1,0,8,10307,0,0,0,0
22405,2022/4/22 20:21,LHAM66,19,1,9.615,770.927,0,-0.03125,1,0,8,10318,0,0,0,0
22406,2022/4/22 20:21,LHAM66,19,1,9.667,775.267,0,-0.019209,1,0,8,10322,0,0,0,0
22407,2022/4/22 20:21,LHAM66,19,1,9.72,779.63,0,-0.008867,1,0,8,10324,0,0,0,0
22408,2022/4/22 20:21,LHAM66,19,1,9.772,783.861,0,0,1,0,8,10325,0,0,0,0
22410,2022/4/22 20:21,LHAM66,19,1,9.825,788.24,0,0,1,0,8,10325,0,0,0,0
22411,2022/4/22 20:21,LHAM66,19,1,9.878,792.552,0,0,1,0,8,10326,0,0,0,0
22412,2022/4/22 20:21,LHAM66,19,1,9.932,796.983,0,0.002405,0.932664,0.00481,8,10320,0,0,0,0
22414,2022/4/22 20:21,LHAM66,19,1,10.04,805.831,0,0.027952,0.217338,0.055904,8,10227,0,0,0,0
22416,2022/4/22 20:21,LHAM66,19,1,10.14,814.331,0,0.03125,0.056435,0.576739,7,11263,0,0,0,0
22417,2022/4/22 20:21,LHAM66,19,1,10.195,818.164,0,0.03125,0.012707,0.904698,7,10908,0,0,0,0
22418,2022/4/22 20:21,LHAM66,19,1,10.249,822.039,0,0.03125,0,1,6,11167,0,0,0,0
22419,2022/4/22 20:21,LHAM66,19,1,10.3,825.729,0,0.03125,0,1,6,11590,0,0,0,0
22421,2022/4/22 20:21,LHAM66,19,1,10.352,829.777,0,0.03125,0,1,6,11184,0,0,0,0
22422,2022/4/22 20:21,LHAM66,19,1,10.409,833.501,0,0.041463,0,1,5,11600,0,0,0,0
22423,2022/4/22 20:21,LHAM66,19,1,10.466,837.03,0,0.053349,0,1,5,11863,0,0,0,0
22425,2022/4/22 20:21,LHAM66,19,1,10.574,843.825,0,0.0625,0,1,5,11063,0,0,0,0
22426,2022/4/22 20:21,LHAM66,19,1,10.626,846.897,0,0.0625,0,1,5,10635,0,0,0,0
22427,2022/4/22 20:21,LHAM66,19,1,10.679,849.906,0,0.068204,0,0.977182,5,10343,0,0,0,0
22428,2022/4/22 20:21,LHAM66,19,1,10.733,852.752,0,0.080002,0,0.929991,5,9963,0,0,0,0
22429,2022/4/22 20:21,LHAM66,19,1,10.784,855.46,0,0.091298,0,0.884807,5,9644,0,0,0,0
22431,2022/4/22 20:21,LHAM66,19,1,10.835,858.058,0,0.101634,0,0.796161,5,9296,0,0,0,0
22432,2022/4/22 20:21,LHAM66,19,1,10.888,860.603,0,0.111952,0,0.692984,5,9046,0,0,0,0
22433,2022/4/22 20:21,LHAM66,19,1,10.941,863.11,0,0.122368,0,0.588822,5,8800,0,0,0,0
22434,2022/4/22 20:21,LHAM66,19,1,10.991,865.444,0,0.133319,0,0.529222,4,11933,0,0,0,0
22435,2022/4/22 20:21,LHAM66,19,1,11.044,867.752,0,0.145123,0,0.482008,4,9847,0,0,0,0
22436,2022/4/22 20:21,LHAM66,19,1,11.095,869.986,0,0.15625,0,0.4375,4,9622,0,0,0,0
22437,2022/4/22 20:21,LHAM66,19,1,11.148,872.152,0,0.167119,0,0.415762,4,9427,0,0,0,0
22438,2022/4/22 20:21,LHAM66,19,1,11.2,874.323,0,0.177573,0,0.394854,4,9241,0,0,0,0
22439,2022/4/22 20:21,LHAM66,19,1,11.251,876.463,0,0.1875,0,0.375,4,9065,0,0,0,0
22440,2022/4/22 20:21,LHAM66,19,1,11.303,878.493,0,0.209296,0,0.353204,4,8897,0,0,0,0
22442,2022/4/22 20:21,LHAM66,19,1,11.355,880.499,0,0.230547,0,0.331953,4,8727,0,0,0,0
22443,2022/4/22 20:21,LHAM66,19,1,11.407,882.475,0,0.25,0,0.3125,4,8565,0,0,0,0
22445,2022/4/22 20:21,LHAM66,19,1,11.511,886.196,0,0.294087,0,0.3125,3,9545,0,0,0,0
22446,2022/4/22 20:21,LHAM66,19,1,11.563,888.052,0,0.3125,0,0.3125,3,9852,0,0,0,0
22447,2022/4/22 20:21,LHAM66,19,1,11.617,889.902,0,0.337336,0,0.287664,3,9731,0,0,0,0
22449,2022/4/22 20:21,LHAM66,19,1,11.719,893.503,0,0.375,0,0.25,3,9426,0,0,0,0
